"userid","date.crea","score","n.matches","n.updates.photo","n.photos","last.connex","last.up.photo","last.pr.update","gender","sent.ana","length.prof","voyage","laugh","photo.keke","photo.beach"
16,2019-11-27,1.25839663752814,11,4,2,2019-12-23,2019-12-17,NA,1,6.58246825734897,23.023077907268,0,1,0,0
17,2014-03-07,0.856392582666066,5,4,7,2014-03-30,2014-03-28,NA,1,2.95104490888219,25.8799711698611,0,0,0,0
18,2011-06-16,1.58813778696384,12,3,3,2011-07-03,2011-06-27,NA,1,3.83390152711329,15.4605914950718,0,0,0,0
19,2012-09-13,0.73915213464304,5,3,2,2012-11-11,2012-10-12,NA,0,-1.70767735736089,0,0,1,0,0
20,2012-08-13,2.55587270481588,22,0,4,2012-09-01,2012-08-29,NA,1,7.33235086766423,0,0,0,0,0
21,2010-08-29,2.2892229244529,19,0,5,2010-09-21,2010-09-16,NA,1,3.88799523031315,0,0,0,0,0
22,2013-05-21,0.730332306468533,5,0,1,2013-06-30,2013-06-23,NA,1,3.56359821343647,34.6939543918731,0,1,0,0
23,2013-03-03,0.98391655678494,6,0,5,2013-03-17,2013-03-15,NA,1,2.85739088945233,0,0,0,0,0
24,2018-11-04,3.11234176528793,28,6,2,2018-12-12,2018-12-06,NA,1,7.05542258666089,18.8483755297583,0,0,0,0
25,2015-11-26,1.89401152218972,9,2,5,2015-12-29,2015-12-24,NA,1,2.57693477462839,39.0141054770711,0,0,0,1
26,2013-07-12,2.90253193825966,26,3,3,2013-08-08,2013-08-09,NA,1,6.91540194477326,0,0,0,0,0
27,2015-06-08,1.65106843351673,13,2,3,2015-07-17,2015-07-11,NA,1,3.16353149184386,2.02509544211103,0,0,0,0
28,2016-11-12,2.91649712141954,16,2,3,2016-12-13,2016-12-14,NA,1,7.53668206162686,0,0,0,0,1
29,2017-04-24,1.4814076278762,15,0,2,2017-06-09,2017-05-09,NA,0,5.32599233548529,14.201699309054,0,0,0,1
30,2013-02-22,1.01767358483335,10,1,1,2013-03-31,2013-03-14,NA,0,7.74657005663173,33.7845081006689,1,1,0,0
31,2013-03-16,0.562208173970525,5,1,1,2013-05-14,2013-04-14,NA,0,4.77003143386696,0,0,0,1,0
32,2011-12-25,2.17045971637042,18,1,4,2012-03-02,2012-01-27,NA,0,2.59084835712406,29.1319575395555,0,0,0,0
33,2014-05-18,1.40512279288863,14,3,4,2014-07-11,2014-06-29,NA,0,8.62940757275125,36.5282835133462,0,0,0,1
34,2015-07-21,1.82495142502557,15,3,4,2015-09-14,2015-08-08,NA,0,4.39539235509966,0,0,0,0,0
35,2013-05-26,1.01668115403258,4,5,6,2013-07-01,2013-06-29,NA,1,1.84852201379808,50.1414890922201,0,1,0,1
36,2009-09-04,1.81919257141416,15,1,7,2009-09-20,2009-09-15,NA,1,-1.59703536420163,0,0,0,0,0
37,2014-07-10,1.11858769358089,8,4,6,2014-08-13,2014-08-01,NA,1,5.38819605004214,46.4405265981759,0,0,0,0
38,2019-08-28,1.11337996706534,4,3,6,2019-09-15,2019-09-17,NA,1,4.21667749909996,37.2818377314627,0,0,1,1
39,2013-07-17,2.8454720786201,18,3,3,2013-08-28,2013-08-26,NA,1,2.69860610912066,17.521465562186,0,1,0,1
40,2009-07-23,3.40013886753595,32,5,3,2009-08-18,2009-08-07,NA,1,3.76432203226271,0,0,0,1,0
41,2009-06-03,0.918692103397855,8,0,5,2009-07-30,2009-06-26,NA,0,2.9849943067819,0,0,0,0,1
42,2016-06-02,2.29060517197973,26,6,4,2016-06-27,2016-06-28,NA,1,5.7695323074282,0,1,1,0,0
43,2012-12-20,2.8994091848677,25,3,7,2012-12-22,2012-12-20,NA,1,6.183394041142,0,0,0,0,0
44,2015-07-14,1.15229572273818,8,0,2,2015-07-26,2015-07-30,NA,1,3.44512022267887,28.5108474064089,0,0,0,0
45,2011-08-13,2.7526624872649,15,3,7,2011-09-06,2011-08-29,NA,1,1.93113979359218,29.932237650235,0,0,0,1
46,2018-11-12,1.97879704328528,32,1,3,2019-01-05,2018-12-11,NA,0,7.32161090062801,0,0,0,1,1
47,2013-08-20,1.14084824175159,8,3,2,2013-09-12,2013-09-11,NA,1,6.40769900787069,0,0,0,0,0
48,2018-01-17,0.58519306530213,7,1,2,2018-02-14,2018-02-05,NA,0,4.07199190033197,27.0741145122286,1,1,1,0
49,2014-06-05,1.1548170392353,10,1,4,2014-06-13,2014-06-05,NA,1,7.31521342662395,0,0,1,0,0
50,2016-07-15,0.977201295973792,6,2,2,2016-07-21,2016-07-15,NA,1,1.77697548598052,46.4427299562346,0,0,0,0
51,2017-10-06,1.99827701844519,19,3,6,2017-10-30,2017-10-21,NA,1,2.60626278675878,20.5422267784232,0,1,0,0
52,2016-12-20,2.34288176300681,12,2,5,2017-01-20,2017-01-15,NA,1,1.91566347295789,27.4859140731763,0,0,0,1
53,2010-04-29,3.34382367412523,19,1,9,2010-05-19,2010-05-13,NA,1,4.78384542733661,0,0,0,0,1
54,2016-06-01,1.91351131064542,16,2,3,2016-07-01,2016-06-01,NA,0,3.02306790979456,14.6123145143315,0,0,0,0
55,2015-03-15,3.67586394606792,42,1,4,2015-05-15,2015-03-31,NA,0,3.84125127386437,35.8255822774505,0,0,0,1
56,2013-03-17,3.22054363721476,29,1,2,2013-05-08,2013-04-12,NA,0,6.82633390575221,0,0,0,0,0
57,2012-04-13,4.77697748560695,28,3,6,2012-05-11,2012-05-04,NA,1,6.50971544354642,0,0,0,0,1
58,2011-06-22,6.27960839350218,44,3,3,2011-07-21,2011-07-18,NA,1,6.99010602553012,0,1,0,0,1
59,2017-08-07,0.825908508650574,5,1,3,2017-10-03,2017-09-02,NA,0,2.52703490659881,0,0,0,0,0
60,2013-12-17,1.14384763175821,16,1,2,2014-02-13,2014-01-13,NA,0,5.570149707631,22.4885276711111,0,1,1,0
61,2016-12-11,2.65610439572434,23,3,3,2016-12-29,2017-01-02,NA,1,7.92918829731237,30.060374223432,0,0,0,0
62,2012-02-25,1.59011237082868,16,1,3,2012-04-29,2012-03-22,NA,0,2.42889409134754,30.8110357292186,0,0,0,1
63,2015-10-20,1.33260160249428,11,2,4,2015-11-06,2015-11-07,NA,1,5.08566691939547,0,0,0,1,0
64,2012-01-10,1.77393648761375,19,5,2,2012-02-27,2012-01-31,NA,0,6.30556637496402,4.06227265382437,0,0,0,1
65,2019-01-20,0.611690524688251,6,0,3,2019-03-14,2019-02-11,NA,0,6.14033953959768,0,1,0,1,0
66,2010-10-28,1.63030459898278,13,2,2,2010-12-12,2010-11-15,NA,0,1.70226412698949,0,0,0,0,0
67,2015-07-31,2.26202677973587,22,3,3,2015-08-24,2015-08-17,NA,1,4.35545249429968,0,1,0,0,0
68,2012-01-31,1.4340369889416,11,3,3,2012-03-18,2012-02-21,NA,0,6.66511435038729,0,0,0,0,0
69,2012-10-14,1.90984472672849,16,2,4,2012-12-08,2012-11-02,NA,0,6.64166447029824,0,0,0,0,0
70,2014-08-13,0.764950341129974,8,6,2,2014-10-01,2014-08-27,NA,0,5.38085712462406,36.7807667245834,0,1,0,1
71,2009-07-25,1.4768409948778,18,0,3,2009-09-28,2009-08-19,NA,0,4.84130249626344,0,0,1,0,1
72,2015-01-12,1.01397609141333,7,2,5,2015-03-21,2015-02-09,NA,0,5.59996975877124,20.8776266394518,0,0,0,0
73,2013-06-02,1.5642585898156,14,0,8,2013-06-15,2013-06-16,NA,1,5.37196661173483,0,0,1,0,0
74,2009-07-14,2.51104485492167,25,2,4,2009-08-10,2009-08-08,NA,1,3.89811876214443,0,0,1,0,0
75,2018-11-22,0.973060048088644,6,4,2,2018-12-04,2018-11-27,NA,0,4.73186255999423,0,0,0,0,0
76,2012-07-11,0.747571659891688,7,1,4,2012-09-06,2012-07-29,NA,0,5.98283290552981,47.8401038230447,0,0,1,0
77,2009-11-21,2.72790260912273,24,4,1,2009-12-17,2009-12-10,NA,0,5.49928745805546,14.0974869375707,0,0,0,0
78,2017-04-27,2.74537486591371,24,3,2,2017-06-15,2017-05-05,NA,0,8.8212733535358,0,0,0,0,0
79,2010-11-29,1.47596551081917,11,1,4,2011-01-03,2011-01-01,NA,1,5.56021207564114,33.1509622224805,0,0,0,0
80,2011-01-29,2.63844595062614,23,2,2,2011-03-08,2011-02-18,NA,0,4.94649486001723,0,0,0,0,0
81,2010-04-11,1.40885100320559,11,2,6,2010-06-06,2010-05-09,NA,0,3.69853545545284,0,0,0,0,0
82,2017-04-19,0.716984745963821,4,3,3,2017-05-06,2017-05-04,NA,0,5.95029214714207,29.2012062616052,1,0,0,0
83,2012-12-25,0.736982384167679,4,-1,5,2013-03-07,2013-02-02,NA,0,4.57927774399379,0,0,0,0,0
84,2015-04-17,1.39649924442585,10,4,8,2015-05-28,2015-05-16,NA,1,5.55752619166793,0,0,0,0,0
85,2012-03-22,3.01954708607442,19,3,2,2012-04-11,2012-04-08,NA,1,5.91493653637418,16.4445387277315,0,1,0,1
86,2012-04-13,1.87612699040667,23,3,5,2012-05-29,2012-04-20,NA,0,9.35368042180107,22.4209391873408,0,0,1,0
87,2014-06-22,2.35339549359294,20,2,7,2014-08-12,2014-07-23,NA,0,3.62651970480483,0,0,0,0,0
88,2009-06-13,2.68289063258546,23,1,7,2009-07-05,2009-07-05,NA,1,4.95475490173533,0,0,0,0,0
89,2010-09-27,2.42835519333232,31,2,5,2010-12-19,2010-11-02,NA,0,7.74480731581101,0,0,0,1,0
90,2010-05-05,0.904998894181898,6,1,3,2010-07-03,2010-06-17,NA,0,4.72364010304676,25.9922829233192,0,0,0,0
91,2015-02-25,1.00479345199441,12,4,4,2015-05-01,2015-03-19,NA,0,4.04461330631643,35.5399716572608,1,0,1,0
92,2019-10-13,1.15438603508463,9,0,2,2019-11-21,2019-11-13,NA,1,8.65596298487984,29.9735561092372,0,0,1,0
93,2016-06-29,1.11751234514187,8,0,3,2016-09-03,2016-07-13,NA,0,3.46633900510423,19.451763454382,0,0,0,0
94,2015-05-07,2.94316863818097,26,5,5,2015-05-27,2015-05-30,NA,1,5.81925747024829,24.2212918037726,0,0,0,0
95,2010-08-30,0.739023952830337,5,1,3,2010-10-10,2010-09-24,NA,0,0.0630916894046354,43.478295181389,1,0,0,0
96,2009-02-21,0.535818249518974,4,-1,1,2009-03-07,2009-02-21,NA,0,0.222639431608006,32.2642734030656,0,0,1,0
97,2017-11-11,1.46362171846069,13,3,7,2017-12-14,2017-12-09,NA,1,5.80611956522485,11.5913648541381,1,0,0,0
98,2015-04-24,1.49775175692884,6,2,5,2015-04-21,2015-04-24,NA,1,4.97832847592664,0,0,0,0,1
99,2017-02-15,1.50993246600587,12,4,3,2017-02-24,2017-02-16,NA,1,4.44665564595801,0,0,0,0,0
100,2012-06-16,2.62469726793703,16,3,4,2012-07-04,2012-06-29,NA,1,5.90839259526033,31.2444306410349,1,0,0,1
101,2017-03-20,0.83970882270303,8,3,1,2017-05-14,2017-04-05,NA,0,5.34247425416914,0,0,0,1,0
102,2014-11-25,1.95344331870231,16,4,4,2015-01-07,2014-12-10,NA,0,6.5023676256827,0,0,0,0,0
103,2014-10-22,1.09995287856254,7,1,1,2014-11-29,2014-11-08,NA,0,7.01540849711429,0,0,0,0,0
104,2019-03-17,2.75798258103602,27,3,1,2019-05-16,2019-04-18,NA,0,3.67332601127828,17.4747845250109,1,0,0,0
105,2017-02-12,1.80005582764033,20,1,7,2017-03-11,2017-03-08,NA,1,3.18171118851223,0,1,1,0,0
106,2017-12-09,1.80484008469078,15,0,7,2017-12-28,2017-12-21,NA,1,3.49507116181215,37.7095147728357,0,0,1,0
107,2017-09-15,1.01013169621964,8,1,3,2017-10-13,2017-10-07,NA,1,4.619124704366,40.6208444027862,1,0,0,0
108,2011-07-16,0.755961211028376,5,1,1,2011-08-08,2011-08-02,NA,1,4.63102271864954,0,1,0,0,0
109,2012-03-18,2.41781315665318,21,5,3,2012-05-07,2012-04-11,NA,0,6.04030404963846,0,0,0,0,0
110,2010-03-09,1.99776445658393,16,1,3,2010-03-23,2010-03-09,NA,0,5.1038735223062,32.9198274913809,0,0,0,0
111,2017-02-09,0.952055023347234,6,1,3,2017-03-11,2017-03-04,NA,1,5.52280269215023,0,0,0,0,0
112,2014-02-02,1.11512076313242,8,3,2,2014-02-19,2014-02-17,NA,1,7.39500110736016,32.5098333793159,0,0,0,0
113,2016-07-05,2.06691904737833,20,2,5,2016-07-20,2016-07-14,NA,1,4.1199149143583,0,1,0,0,0
114,2015-07-14,2.33729503217166,22,0,5,2015-08-14,2015-07-20,NA,0,2.73263804415945,32.1673872887249,1,0,0,0
115,2012-06-08,2.39110015144035,31,1,6,2012-07-05,2012-06-12,NA,0,8.7943722575026,27.1735115981707,0,0,1,0
116,2009-06-01,1.49951694044087,13,2,2,2009-07-11,2009-06-14,NA,0,4.47188198045883,35.7169980930507,1,0,0,0
117,2017-10-05,1.16647662439732,4,1,7,2017-11-03,2017-11-03,NA,1,5.96259442663116,0,0,0,0,1
118,2012-02-29,0.927092776603677,6,0,2,2012-03-15,2012-03-06,NA,1,3.83109130211015,36.6584847862077,0,0,0,0
119,2019-01-05,1.63223765449172,13,1,8,2019-01-28,2019-01-28,NA,1,2.48216922580288,35.9265627268937,0,0,0,0
120,2014-10-14,1.34113582361999,5,4,5,2014-11-11,2014-11-16,NA,1,8.3907255070684,15.2799826111574,0,0,0,1
121,2017-07-15,2.70353057121093,24,1,5,2017-08-04,2017-07-26,NA,1,5.54109327697126,0,0,0,0,0
122,2011-01-29,2.33041539291436,20,3,5,2011-02-19,2011-02-17,NA,1,5.27700669112391,3.16584961782738,0,0,0,0
123,2010-06-08,1.7785018669745,14,6,2,2010-08-08,2010-07-04,NA,0,5.42543565060865,0,0,0,0,0
124,2019-07-31,1.18759638628498,5,0,3,2019-09-02,2019-08-26,NA,1,2.9384814367256,0,1,0,0,1
125,2011-05-15,2.65920300212156,14,0,1,2011-06-14,2011-06-13,NA,1,9.64771060559183,34.5747682264436,0,0,0,1
126,2016-07-03,2.63125430269113,34,3,3,2016-08-30,2016-07-22,NA,0,8.05284467104244,26.5393846517334,0,0,1,0
127,2012-07-26,1.71412633461758,18,2,2,2012-10-12,2012-09-09,NA,0,4.3042123088864,0,0,0,0,1
128,2014-11-09,1.94889328765096,16,3,4,2014-11-25,2014-11-17,NA,1,5.92151891832843,0,0,0,0,0
129,2011-10-28,2.53477490497335,34,1,1,2011-12-17,2011-11-09,NA,0,2.77653201043105,24.3057369444611,0,1,0,1
130,2015-12-12,3.60870888435512,37,2,5,2016-01-13,2016-01-03,NA,0,2.95728947385716,26.6644010293521,1,0,0,0
131,2014-06-13,2.29684246492027,22,1,4,2014-07-10,2014-06-27,NA,0,5.92042485936049,9.76597295720079,1,0,0,0
132,2012-12-16,2.01491260795381,25,3,3,2013-01-19,2012-12-31,NA,0,3.64039427713908,0,0,0,1,0
133,2014-03-22,1.22520579282397,6,1,3,2014-05-04,2014-05-07,NA,1,2.61819385456868,0,0,1,0,1
134,2012-08-01,0.842548732092258,7,2,1,2012-08-23,2012-08-21,NA,1,5.28841913684525,24.9064440603064,0,1,1,0
135,2014-10-19,1.87413196523241,15,2,5,2014-11-18,2014-11-17,NA,1,5.19560193608919,42.6023198165517,0,0,0,0
136,2011-03-05,1.43689924179182,11,0,6,2011-03-07,2011-03-05,NA,1,1.24235923212812,0,0,0,0,0
137,2015-01-12,1.38284193320898,20,2,2,2015-03-23,2015-02-01,NA,0,8.65353836882118,0,0,1,1,0
138,2019-09-16,3.27390241137485,29,4,3,2019-11-21,2019-10-30,NA,0,4.99861538589806,30.224787503814,0,0,0,0
139,2018-04-15,3.47746213648388,46,2,3,2018-06-18,2018-05-11,NA,0,6.7393041071598,29.8966720746176,0,0,1,0
140,2012-10-11,1.6164459487234,13,0,4,2012-11-06,2012-10-31,NA,1,9.7446285361255,18.5585956279158,0,0,0,0
141,2018-06-07,1.7352856330827,16,2,2,2018-07-21,2018-06-13,NA,0,6.34950209069792,0,1,0,0,0
142,2010-09-29,1.52841547729715,12,0,7,2010-10-27,2010-10-21,NA,1,6.46831734562132,0,0,0,0,0
143,2017-07-03,2.17940352354821,18,2,4,2017-08-25,2017-07-25,NA,0,7.68036011857562,27.9747452703534,0,0,0,0
144,2012-10-18,1.01033621603458,7,0,2,2013-01-20,2012-11-27,NA,0,3.03699541504358,33.9843362453872,0,0,0,0
145,2014-08-31,0.956767897090308,6,0,4,2014-10-20,2014-09-15,NA,0,4.71210287267667,14.282820076711,0,0,0,0
146,2015-09-14,5.76022142479876,40,3,1,2015-10-14,2015-10-07,NA,1,5.96573028062706,34.7852199176334,1,0,0,1
147,2013-05-21,2.95649432508522,35,1,6,2013-06-25,2013-06-19,NA,1,4.55822251713109,0,1,1,0,0
148,2016-07-22,3.02560767103235,27,3,1,2016-09-08,2016-08-18,NA,0,7.84319258841183,8.32486126483271,0,0,0,0
149,2009-01-18,2.98308869601474,26,1,3,2009-02-16,2009-02-11,NA,1,5.70569504713695,30.0809801288527,0,0,0,0
150,2012-08-24,1.66028232338946,15,3,5,2012-09-17,2012-09-14,NA,1,4.81381285114112,18.8435376904135,0,1,0,0
151,2010-04-09,1.90868552372014,16,5,3,2010-05-06,2010-05-03,NA,1,0.561221575886726,0,0,0,0,0
152,2014-07-14,1.47311943892316,13,0,4,2014-08-16,2014-08-10,NA,1,6.02799026151307,0,1,0,0,0
153,2012-03-11,2.00777732460603,17,4,6,2012-04-25,2012-04-23,NA,1,6.94094150946198,19.3207004823428,0,0,0,0
154,2010-06-04,3.64628464603169,33,2,3,2010-07-04,2010-06-25,NA,0,6.61996707447736,22.8612160776609,0,0,0,0
155,2015-03-10,1.24216264447762,9,3,2,2015-04-04,2015-03-12,NA,0,3.78078176776648,0,0,0,0,0
156,2014-07-07,0.969758644787792,6,0,5,2014-07-29,2014-07-29,NA,1,2.9362113915715,37.8948320188246,0,0,0,0
157,2011-09-20,3.15475205674784,32,5,2,2011-11-02,2011-10-09,NA,0,4.82177231743567,31.318771399048,1,0,0,0
158,2010-11-11,3.43182242827613,51,3,5,2011-01-18,2010-12-11,NA,0,6.49048791011314,31.5465743601355,1,0,1,0
159,2015-06-14,1.021308841326,7,1,4,2015-07-15,2015-07-08,NA,2,6.89423429282755,16.3841591683113,1,0,0,1
160,2011-02-19,4.24870903146048,29,5,4,2011-03-18,2011-03-13,NA,1,8.25303885228205,0,0,1,0,1
161,2019-05-30,1.39989113375975,16,3,2,2019-07-12,2019-06-25,NA,0,7.21929518268224,39.1176025548289,0,0,1,0
162,2010-06-14,1.67642326727912,16,1,1,2010-08-20,2010-07-22,NA,0,7.83757581605596,0,0,1,0,0
163,2012-06-27,1.12488929935528,13,0,2,2012-08-17,2012-07-19,NA,0,9.83753862421108,29.2942797539925,0,0,1,0
164,2009-12-03,1.72817166802778,16,2,6,2009-12-19,2009-12-16,NA,1,3.72202660798528,0,1,0,0,0
165,2013-07-15,3.744466262074,21,1,4,2013-07-29,2013-07-23,NA,1,7.61990476681965,0,0,0,0,1
166,2013-07-04,1.98129163958719,16,1,3,2013-08-01,2013-07-28,NA,1,6.9337272711226,0,0,0,0,0
167,2011-04-02,4.93100012174022,46,1,7,2011-05-05,2011-05-02,NA,1,5.79135654298422,26.3256679589046,0,0,0,0
168,2010-04-13,3.88785996845398,47,3,3,2010-05-29,2010-05-15,NA,0,7.93277133042204,29.9251760754956,1,1,0,0
169,2010-09-24,1.49091882632695,12,3,2,2010-10-19,2010-10-13,NA,1,2.43937849027535,0,0,0,1,0
170,2009-03-26,1.50973682360637,12,0,2,2009-05-19,2009-04-13,NA,0,4.92740435498845,0,0,0,0,0
171,2017-12-14,1.4135532647795,13,1,1,2017-12-17,2017-12-14,NA,1,5.25071168575896,0,0,1,1,0
172,2010-01-14,2.27435332059244,19,2,3,2010-02-17,2010-01-23,NA,0,6.67214121335737,17.4749831809482,0,0,0,0
173,2009-07-12,1.80195719331569,22,4,3,2009-09-15,2009-08-08,NA,0,5.05011101415482,0,0,0,1,0
174,2010-06-01,2.69039653428794,42,1,2,2010-08-03,2010-06-13,NA,0,9.57551143301558,0,0,1,1,0
175,2016-09-18,3.06571396808648,27,3,1,2016-09-07,2016-09-18,NA,1,2.53701723724998,0,0,0,0,0
176,2011-10-06,1.62476995980118,20,2,3,2011-12-04,2011-10-31,NA,0,5.88524951344812,1.36104738126175,0,0,1,0
177,2018-04-23,1.25055483585608,5,5,4,2018-06-02,2018-05-26,NA,1,8.04085516485545,0,0,0,0,1
178,2015-10-02,2.04259434405648,17,1,1,2015-12-10,2015-11-13,NA,0,5.99102130358502,11.4691049968739,0,0,0,0
179,2018-12-13,2.03245741538433,26,2,2,2019-02-11,2019-01-02,NA,0,7.0900566520529,25.716425223878,0,0,1,0
180,2009-03-12,2.79031004838538,28,3,6,2009-03-13,2009-03-12,NA,1,6.94995078329672,0,1,0,0,0
181,2011-12-05,1.41787703490504,11,4,1,2011-12-29,2011-12-18,NA,2,7.06830914441419,0,1,0,0,0
182,2016-02-02,1.43054992834342,12,1,1,2016-03-26,2016-02-25,NA,0,2.20843581361597,24.3263021767492,1,0,0,0
183,2012-04-01,2.96213861468739,34,6,4,2012-05-17,2012-04-20,NA,0,7.66152904910655,0,0,0,0,1
184,2017-07-05,0.923919445252612,8,4,2,2017-08-23,2017-07-24,NA,0,6.85374689257358,0,0,0,0,1
185,2016-05-30,0.889532999288114,5,1,4,2016-07-01,2016-06-10,NA,0,6.3621222210731,38.1800705811066,0,0,0,0
186,2019-07-06,1.56566909343532,12,1,4,2019-08-14,2019-08-10,NA,1,3.87390054386388,27.1886458349983,0,0,0,0
187,2018-12-23,0.831959233547156,8,2,6,2019-02-10,2019-01-08,NA,0,5.2387485871518,18.0571135277003,0,0,1,0
188,2016-10-01,1.01130603264676,13,2,3,2016-11-22,2016-11-13,NA,0,5.12865696144691,0,1,0,1,0
189,2012-05-13,1.67689297917891,8,2,3,2012-06-15,2012-06-09,NA,1,2.70243743393091,0,0,0,0,1
190,2013-01-18,1.04572932518771,7,3,8,2013-02-24,2013-02-20,NA,1,6.82266428783512,0,0,0,0,0
191,2017-05-10,1.1272325927826,8,5,1,2017-06-10,2017-06-07,NA,1,4.60842439377427,39.9767396860232,0,0,1,0
192,2012-06-11,1.02544265139394,7,3,3,2012-07-06,2012-06-29,NA,1,4.51471362160666,10.5118330422865,0,0,0,0
193,2014-09-07,3.62352364240097,33,3,5,2014-10-27,2014-09-25,NA,0,4.85248344838931,25.7239285150809,0,0,0,0
194,2010-11-09,1.34119658862007,10,0,5,2010-12-05,2010-12-02,NA,1,5.89927714531289,0,0,0,0,0
195,2011-02-14,1.74533265548593,10,4,9,2011-03-01,2011-02-23,NA,1,3.79969415832832,0,0,1,0,1
196,2015-11-12,1.05223864528002,12,0,4,2016-01-02,2015-11-30,NA,0,4.37804246683087,0,0,0,1,0
197,2013-07-03,1.8007176653697,9,3,5,2013-07-22,2013-07-19,NA,1,2.86817760778461,0,0,0,0,1
198,2017-01-21,3.16352101174215,28,3,9,2017-03-05,2017-03-05,NA,1,4.08214308617549,0,0,0,0,0
199,2009-10-19,2.51328807042205,32,8,1,2009-12-30,2009-11-19,NA,0,5.57012319505906,0,0,0,1,0
200,2009-10-10,1.92212673482641,16,0,5,2009-10-11,2009-10-10,NA,1,6.55728778608712,0,0,0,0,0
201,2015-09-04,0.803769422016954,8,2,2,2015-10-08,2015-10-02,NA,0,5.3173957262879,58.2214896037019,0,0,1,0
202,2018-09-23,3.90246183677147,36,1,3,2018-12-04,2018-10-29,NA,0,4.30352384643667,41.095864662097,0,0,0,0
203,2019-01-08,1.63481015712528,13,2,3,2019-01-20,2019-01-19,NA,2,5.14543074636547,16.8625691330596,0,0,0,1
204,2016-12-25,1.65338842448281,16,2,3,2017-01-27,2017-01-10,NA,0,7.6016005329156,40.7185412259455,0,1,0,0
205,2010-04-02,2.01633851699736,17,2,5,2010-05-18,2010-05-04,NA,0,5.01768065604063,20.0023378556011,0,0,0,0
206,2013-10-25,1.96085891716236,16,2,1,2013-12-04,2013-11-18,NA,0,5.27110562235304,0,0,0,0,0
207,2015-03-03,2.6732256671599,14,6,3,2015-03-18,2015-03-20,NA,1,7.09588151325798,0,0,0,0,1
208,2015-03-09,3.59228857752585,32,5,4,2015-04-02,2015-03-28,NA,2,8.75874487805154,0,1,0,0,0
209,2013-05-05,2.44959041977811,21,0,2,2013-07-15,2013-05-25,NA,0,7.26285630171095,0,0,0,0,0
210,2009-10-08,6.78606798256893,42,2,6,2009-11-01,2009-10-28,NA,1,2.98586590095989,10.308583381424,0,0,0,1
211,2019-09-08,1.17245752675425,4,-1,5,2019-10-09,2019-10-01,NA,1,7.96363488826109,38.2221139090661,0,0,0,1
212,2010-08-21,0.823499230406554,5,0,6,2010-09-23,2010-09-25,NA,1,1.91533053236707,16.5124741672084,0,0,0,0
213,2015-08-31,3.31589746285285,30,2,4,2015-10-16,2015-09-17,NA,0,2.59346332706303,14.4025181142663,0,0,0,0
214,2010-10-30,1.4773178713967,6,1,5,2010-11-09,2010-11-04,NA,1,6.19166805659134,38.3523903612278,0,0,0,1
215,2011-01-17,1.15396170158577,9,1,1,2011-02-27,2011-01-31,NA,0,5.49790979425236,25.4547455429746,1,0,0,0
216,2012-03-17,2.72544789382933,25,2,5,2012-04-12,2012-04-15,NA,1,8.17310977113782,26.2716191908615,0,0,1,0
217,2013-10-23,0.620180063271698,5,1,3,2013-11-12,2013-10-31,NA,0,5.73752397692931,21.3941870418391,0,0,1,0
218,2012-06-03,1.12771392890869,4,0,3,2012-07-01,2012-06-27,NA,1,3.63871583768902,11.857466272151,0,0,0,1
219,2013-12-19,1.4688171629631,14,3,2,2014-02-19,2014-01-06,NA,0,6.21908744534038,0,0,1,0,0
